cidade,aprendizado,fluxo,ideb
Acari,"6,64","0,99","6,6"
Açu,"4,86","0,87","4,2"
Afonso Bezerra,"4,49","0,87","3,9"
Água Nova,"5,46","0,92",5
Alexandria,"5,18","0,86","4,5"
Almino Afonso,"5,39","0,91","4,9"
Alto do Rodrigues,-,"0,94",-
Angicos,"5,05","0,82","4,1"
Antônio Martins,"5,06","0,82","4,1"
Apodi,"5,42","0,91","4,9"
Areia Branca,"5,32","0,89","4,7"
Arês,"4,59","0,88",4
Baía Formosa,"4,63","0,84","3,9"
Baraúna,"5,17","0,86","4,4"
Barcelona,"5,31","0,88","4,7"
Bento Fernandes,"4,51","0,84","3,8"
Bodó,"4,85","0,85","4,1"
Bom Jesus,"4,78","0,84",4
Brejinho,"4,98","0,95","4,7"
Caiçara do Norte,"4,49","0,79","3,6"
Caiçara do Rio do Vento,"4,92","0,88","4,3"
Caicó,"5,33","0,92","4,9"
Campo Grande,"4,71","0,91","4,3"
Campo Redondo,"5,11","0,92","4,7"
Canguaretama,"4,8","0,84",4
Caraúbas,"5,33","0,92","4,9"
Carnaúba dos Dantas,"5,64","0,99","5,6"
Carnaubais,"4,87","0,88","4,3"
Ceará-Mirim,"4,7","0,87","4,1"
Cerro Corá,"5,24","0,93","4,8"
Coronel Ezequiel,"5,19","0,91","4,7"
Coronel João Pessoa,"5,2","0,79","4,1"
Cruzeta,"6,38","0,99","6,3"
Currais Novos,"5,82","0,96","5,6"
Doutor Severiano,"5,5","0,97","5,3"
Encanto,"5,37","0,81","4,4"
Equador,"5,76","0,94","5,4"
Espírito Santo,"4,37","0,84","3,7"
Extremoz,"4,93","0,85","4,2"
Felipe Guerra,"5,33","0,97","5,2"
Fernando Pedroza,"4,87","0,83",4
Florânia,"5,17","0,95","4,9"
Francisco Dantas,"5,19","0,87","4,5"
Frutuoso Gomes,"5,02","0,83","4,2"
Galinhos,"4,22","0,96",4
Goianinha,"5,56","0,86","4,8"
Governador Dix-Sept Rosado,"5,22","0,85","4,4"
Grossos,"5,48","0,8","4,4"
Guamaré,"5,01","0,89","4,4"
Ielmo Marinho,"5,32","0,89","4,7"
Ipanguaçu,"4,26","0,84","3,6"
Ipueira,"6,37","0,98","6,2"
Itajá,"4,72","0,88","4,2"
Itaú,"5,68","0,96","5,5"
Jaçanã,"5,82","0,96","5,6"
Jandaíra,"4,2","0,9","3,8"
Janduís,"4,75","0,89","4,2"
Januário Cicco,"4,67","0,81","3,8"
Japi,"4,4","0,91",4
Jardim de Angicos,"4,52","0,85","3,9"
Jardim de Piranhas,"5,32","0,89","4,7"
Jardim do Seridó,"5,25","0,97","5,1"
João Câmara,"4,16","0,91","3,8"
João Dias,"4,13","0,75","3,1"
José da Penha,"4,96","0,83","4,1"
Jucurutu,"5,05","0,9","4,6"
Jundiá,"4,19","0,83","3,5"
Lagoa d'Anta,"3,95","0,86","3,4"
Lagoa de Pedras,"4,29","0,9","3,8"
Lagoa de Velhos,"4,81","0,84",4
Lagoa Nova,"5,56","0,89","4,9"
Lagoa Salgada,"4,47","0,83","3,7"
Lajes,"5,82","0,92","5,4"
Lajes Pintadas,"4,5","0,87","3,9"
Lucrécia,"5,39","0,94","5,1"
Luís Gomes,"5,54","0,85","4,7"
Macaíba,"4,79","0,89","4,3"
Macau,"4,68","0,86",4
Major Sales,"5,43","0,87","4,7"
Marcelino Vieira,"4,71","0,83","3,9"
Martins,"5,26","0,9","4,7"
Maxaranguape,"4,63","0,87",4
Messias Targino,"4,66","0,89","4,2"
Montanhas,"5,21","0,84","4,4"
Monte Alegre,"4,81","0,85","4,1"
Monte das Gameleiras,-,"0,85",-
Mossoró,"5,76","0,92","5,3"
Natal,"5,27","0,91","4,8"
Nísia Floresta,"4,85","0,87","4,2"
Nova Cruz,"4,62","0,85","3,9"
Olho d'Água do Borges,"4,88","0,91","4,4"
Ouro Branco,"5,5","0,89","4,9"
Paraná,"4,46","0,91","4,1"
Paraú,"4,66","0,8","3,7"
Parazinho,"4,37","0,86","3,8"
Parelhas,"5,78","0,93","5,4"
Parnamirim,"5,31","0,88","4,7"
Passa e Fica,"4,77","0,9","4,3"
Passagem,"4,66","0,85",4
Patu,"5,11","0,85","4,3"
Pau dos Ferros,"5,3","0,94",5
Pedra Grande,"5,1","0,92","4,7"
Pedra Preta,"4,58","0,79","3,6"
Pedro Avelino,"4,55","0,87","3,9"
Pedro Velho,"4,76","0,86","4,1"
Pendências,"4,71","0,87","4,1"
Pilões,"5,31","0,87","4,6"
Poço Branco,"4,31","0,88","3,8"
Portalegre,"5,53","0,84","4,7"
Porto do Mangue,"4,5","0,77","3,4"
Pureza,"4,45","0,83","3,7"
Rafael Fernandes,"4,97","0,81",4
Rafael Godeiro,"5,74","0,88","5,1"
Riacho da Cruz,"5,8","0,93","5,4"
Riacho de Santana,"5,31","0,86","4,6"
Riachuelo,"4,27","0,87","3,7"
Rio do Fogo,"4,64","0,76","3,5"
Rodolfo Fernandes,"5,43","0,87","4,7"
Ruy Barbosa,"5,63","0,96","5,4"
Santa Cruz,"4,71","0,89","4,2"
Santa Maria,"5,4","0,85","4,6"
Santana do Matos,"5,23","0,85","4,5"
Santana do Seridó,"6,47","0,92",6
Santo Antônio,"4,79","0,87","4,2"
São Bento do Norte,"4,6","0,84","3,8"
São Bento do Trairí,"5,24","0,92","4,8"
São Fernando,"5,69","0,94","5,3"
São Francisco do Oeste,"5,31","0,87","4,6"
São Gonçalo do Amarante,"4,75","0,85",4
São João do Sabugi,"5,88","0,95","5,6"
São José de Mipibu,"4,91","0,82",4
São José do Campestre,"4,65","0,81","3,8"
São José do Seridó,"5,82","0,96","5,6"
São Miguel,"5,65","0,91","5,2"
São Miguel do Gostoso,"5,44","0,83","4,5"
São Paulo do Potengi,"4,55","0,92","4,2"
São Pedro,"5,45","0,86","4,7"
São Rafael,"4,79","0,8","3,8"
São Tomé,"4,46","0,92","4,1"
São Vicente,"5,58","0,93","5,2"
Senador Elói de Souza,"4,39","0,87","3,8"
Senador Georgino Avelino,"4,42","0,85","3,8"
Serra Caiada,"4,6","0,88","4,1"
Serra de São Bento,"5,22","0,89","4,6"
Serra do Mel,"5,1","0,89","4,5"
Serra Negra do Norte,"5,59","0,89",5
Serrinha,"5,54","0,9",5
Serrinha dos Pintos,"5,61","0,89",5
Severiano Melo,"5,71","0,86","4,9"
Sítio Novo,"4,93","0,86","4,2"
Taboleiro Grande,"5,66","0,91","5,1"
Taipu,"3,85","0,92","3,5"
Tangará,"4,73","0,88","4,2"
Tenente Ananias,"5,04","0,9","4,5"
Tenente Laurentino Cruz,"5,05","0,93","4,7"
Tibau,"5,14","0,91","4,7"
Tibau do Sul,"5,02","0,84","4,2"
Timbaúba dos Batistas,"5,05","0,8","4,1"
Touros,"5,04","0,83","4,2"
Triunfo Potiguar,"4,61","0,85","3,9"
Umarizal,"4,43","0,86","3,8"
Upanema,"4,86","0,89","4,3"
Várzea,"4,11","0,81","3,3"
Venha-Ver,"4,74","0,9","4,3"
Vera Cruz,"4,39","0,87","3,8"
Viçosa,"5,44","0,91","4,9"
Vila Flor,"4,71","0,81","3,8"
