cidade,aprendizado,fluxo,ideb
São João do Sabugi,"5,98","0,96","5,7"
São José de Mipibu,"5,07","0,89","4,5"
São José do Campestre,"4,92","0,9","4,4"
São José do Seridó,6,"0,97","5,8"
São Miguel,"5,51","0,93","5,1"
São Miguel do Gostoso,"5,62","0,86","4,8"
São Paulo do Potengi,"4,89","0,94","4,6"
São Pedro,-,"0,84",-
São Rafael,"5,01","0,92","4,6"
São Tomé,"5,02","0,89","4,5"
São Vicente,"5,27","0,95",5
Senador Elói de Souza,"4,29","0,9","3,9"
Senador Georgino Avelino,"3,9","0,85","3,3"
Serra Caiada,"4,54","0,92","4,2"
Serra de São Bento,"5,2","0,83","4,3"
Serra do Mel,"4,97","0,92","4,5"
Serra Negra do Norte,"5,07","0,86","4,3"
Serrinha,"5,98","0,94","5,6"
Serrinha dos Pintos,"4,79","0,91","4,3"
Severiano Melo,"5,9","0,88","5,2"
Sítio Novo,"5,32","0,93","4,9"
Taboleiro Grande,-,"0,95",-
Taipu,"4,58","0,93","4,3"
Tangará,"4,56","0,91","4,1"
Tenente Ananias,"5,36","0,94",5
Tenente Laurentino Cruz,"4,92","0,94","4,6"
Tibau,"5,15","0,99","5,1"
Tibau do Sul,"5,17","0,91","4,7"
Timbaúba dos Batistas,-,"0,81",-
Touros,"4,87","0,84","4,1"
Triunfo Potiguar,"4,22","0,83","3,5"
Umarizal,"5,24","0,94","4,9"
Upanema,"5,14","0,91","4,7"
Várzea,"4,39","0,79","3,5"
Venha-Ver,"4,91","0,87","4,3"
Vera Cruz,"4,49","0,9","4,1"
Viçosa,"6,23","0,98","6,1"
Vila Flor,"4,58","0,87",4
