cidade,aprendizado,fluxo,ideb
Acari,"6,79","0,99","6,8"
Açu,"4,97","0,91","4,5"
Afonso Bezerra,"4,52","0,88",4
Água Nova,"5,21","0,93","4,8"
Alexandria,"5,24","0,89","4,7"
Almino Afonso,"5,56","0,91",5
Alto do Rodrigues,"5,59","0,95","5,3"
Angicos,"5,37","0,89","4,8"
Antônio Martins,"5,05","0,82","4,1"
Apodi,"5,55","0,93","5,2"
Areia Branca,"4,85","0,9","4,3"
Arês,"4,34","0,85","3,7"
Baía Formosa,"4,77","0,88","4,2"
Baraúna,"5,51","0,9",5
Barcelona,"5,32","0,76","4,1"
Bento Fernandes,"4,3","0,9","3,9"
Bodó,"4,13","0,89","3,7"
Bom Jesus,"4,7","0,87","4,1"
Brejinho,"4,57","0,97","4,4"
Caiçara do Norte,"4,67","0,8","3,8"
Caiçara do Rio do Vento,"5,09","0,92","4,7"
Caicó,"5,42","0,94","5,1"
Campo Grande,"5,54","0,89","4,9"
Campo Redondo,"5,16","0,96",5
Canguaretama,"4,98","0,87","4,3"
Caraúbas,"5,36","0,93",5
Carnaúba dos Dantas,"5,42","0,99","5,3"
Carnaubais,"4,88","0,86","4,2"
Ceará-Mirim,"4,76","0,87","4,1"
Cerro Corá,"4,82","0,92","4,4"
Coronel Ezequiel,"4,34","0,88","3,8"
Coronel João Pessoa,"5,23","0,77",4
Cruzeta,"6,49","0,99","6,5"
Currais Novos,"5,73","0,96","5,5"
Doutor Severiano,"6,01","0,96","5,8"
Encanto,"5,63","0,85","4,8"
Equador,"5,36","0,94",5
Espírito Santo,"4,23","0,81","3,4"
Extremoz,"5,08","0,87","4,4"
Felipe Guerra,"6,04","0,94","5,7"
Fernando Pedroza,"5,33","0,84","4,5"
Florânia,"5,04","0,97","4,9"
Francisco Dantas,"5,94","0,94","5,6"
Frutuoso Gomes,"5,63","0,83","4,7"
Galinhos,-,-,-
Goianinha,"5,61","0,91","5,1"
Governador Dix-Sept Rosado,"5,13","0,8","4,1"
Grossos,"5,23","0,84","4,4"
Guamaré,"4,78","0,92","4,4"
Ielmo Marinho,"4,99","0,9","4,5"
Ipanguaçu,"3,8","0,88","3,3"
Ipueira,-,-,-
Itajá,"4,87","0,95","4,6"
Itaú,"5,11","0,9","4,6"
Jaçanã,"5,74","0,92","5,3"
Jandaíra,"4,61","0,91","4,2"
Janduís,"5,59","0,9",5
Januário Cicco,"6,52","0,89","5,8"
Japi,"4,42","0,93","4,1"
Jardim de Angicos,"4,59","0,88","4,1"
Jardim de Piranhas,"5,31","0,91","4,8"
Jardim do Seridó,"5,58","0,96","5,3"
João Câmara,"4,37","0,94","4,1"
João Dias,-,"0,84",-
José da Penha,"4,81","0,87","4,2"
Jucurutu,"5,32","0,89","4,7"
Jundiá,"4,53","0,83","3,7"
Lagoa d'Anta,"4,37","0,9","3,9"
Lagoa de Pedras,"4,97","0,92","4,6"
Lagoa de Velhos,"5,33","0,73","3,9"
Lagoa Nova,"5,86","0,89","5,2"
Lagoa Salgada,"5,2","0,88","4,6"
Lajes,"5,68","0,93","5,3"
Lajes Pintadas,"5,05","0,92","4,6"
Lucrécia,"5,54","0,94","5,2"
Luís Gomes,"4,95","0,8",4
Macaíba,"4,75","0,9","4,3"
Macau,"4,79","0,88","4,2"
Major Sales,"5,36","0,78","4,2"
Marcelino Vieira,"4,91","0,89","4,4"
Martins,"5,46","0,95","5,2"
Maxaranguape,"4,55","0,94","4,3"
Messias Targino,"4,58","0,89","4,1"
Montanhas,"5,49","0,88","4,8"
Monte Alegre,"5,24","0,9","4,7"
Monte das Gameleiras,"4,55","0,84","3,8"
Mossoró,"6,01","0,93","5,6"
Natal,"5,38","0,91","4,9"
Nísia Floresta,"4,82","0,87","4,2"
Nova Cruz,"4,57","0,87",4
Olho d'Água do Borges,"4,78","0,95","4,6"
Ouro Branco,"5,28","0,86","4,5"
Paraná,"5,6","0,91","5,1"
Paraú,"3,96","0,74","2,9"
Parazinho,"5,17","0,92","4,8"
Parelhas,"5,89","0,95","5,6"
Parnamirim,"5,47","0,91",5
Passa e Fica,"5,29","0,93","4,9"
Passagem,"4,74","0,9","4,3"
Patu,"5,34","0,89","4,8"
Pau dos Ferros,"5,49","0,94","5,2"
Pedra Grande,"5,08","0,81","4,1"
Pedra Preta,"4,26","0,81","3,4"
Pedro Avelino,"4,55","0,89",4
Pedro Velho,"4,49","0,9",4
Pendências,"4,83","0,91","4,4"
Pilões,"5,42","0,88","4,8"
Poço Branco,"4,16","0,87","3,6"
Portalegre,"5,55","0,91",5
Porto do Mangue,"4,22","0,84","3,5"
Pureza,"4,62","0,86",4
Rafael Fernandes,"5,72","0,91","5,2"
Rafael Godeiro,"5,87","0,89","5,2"
Riacho da Cruz,"5,68","0,94","5,3"
Riacho de Santana,"5,33","0,87","4,6"
Riachuelo,"4,74","0,86","4,1"
Rio do Fogo,"5,02","0,78","3,9"
Rodolfo Fernandes,"4,9","0,9","4,4"
Ruy Barbosa,"6,07",1,"6,1"
Santa Cruz,"4,67","0,92","4,3"
Santa Maria,-,"0,89",-
Santana do Matos,"5,66","0,87","4,9"
Santana do Seridó,"6,26","0,96",6
Santo Antônio,"5,27","0,91","4,8"
São Bento do Norte,"4,57","0,81","3,7"
São Bento do Trairí,"4,82","0,93","4,5"
São Fernando,"6,11","0,97","5,9"
São Francisco do Oeste,"5,52","0,93","5,1"
São Gonçalo do Amarante,"4,92","0,91","4,5"
