cidade,aprendizado,fluxo,ideb
Rio do Fogo,"3,49","0,75","2,6"
Rodolfo Fernandes,"4,24","0,87","3,7"
Ruy Barbosa,"4,26","0,86","3,7"
Santa Cruz,"4,25","0,86","3,7"
Santa Maria,"4,47","0,87","3,9"
Santana do Matos,"4,31","0,82","3,5"
Santana do Seridó,"6,17","0,95","5,9"
Santo Antônio,"4,28","0,83","3,5"
São Bento do Norte,"4,6","0,84","3,8"
São Bento do Trairí,"3,83","0,91","3,5"
São Fernando,"4,66","0,86",4
São Francisco do Oeste,"5,05","0,79",4
São Gonçalo do Amarante,"4,33","0,82","3,5"
São João do Sabugi,"5,84","0,91","5,3"
São José de Mipibu,"4,06","0,82","3,3"
São José do Campestre,4,"0,8","3,2"
São José do Seridó,"4,92","0,99","4,9"
São Miguel,"5,33","0,88","4,7"
São Miguel do Gostoso,"5,1","0,86","4,4"
São Paulo do Potengi,"4,02","0,91","3,7"
São Pedro,"4,01","0,85","3,4"
São Rafael,"4,84","0,84","4,1"
São Tomé,"4,37","0,84","3,7"
São Vicente,"4,7","0,9","4,2"
Senador Elói de Souza,"4,17","0,84","3,5"
Senador Georgino Avelino,"4,47","0,82","3,6"
Serra Caiada,"3,78","0,89","3,4"
Serra de São Bento,"4,49","0,78","3,5"
Serra do Mel,"4,4","0,91",4
Serra Negra do Norte,"5,36","0,87","4,6"
Serrinha,"5,1","0,89","4,6"
Serrinha dos Pintos,"5,06","0,88","4,5"
Severiano Melo,"5,08","0,83","4,2"
Sítio Novo,"4,67","0,84","3,9"
Taboleiro Grande,"4,61","0,87",4
Taipu,"3,77","0,89","3,4"
Tangará,"4,3","0,88","3,8"
Tenente Ananias,"4,78","0,83",4
Tenente Laurentino Cruz,"4,56","0,92","4,2"
Tibau,"4,14","0,85","3,5"
Tibau do Sul,"4,25","0,81","3,4"
Timbaúba dos Batistas,"4,55","0,9","4,1"
Touros,"4,2","0,84","3,5"
Triunfo Potiguar,"3,86","0,8","3,1"
Umarizal,"4,35","0,85","3,7"
Upanema,"4,57","0,88",4
Várzea,"3,22","0,76","2,4"
Venha-Ver,"4,83","0,85","4,1"
Vera Cruz,"4,06","0,88","3,6"
Viçosa,"4,46","0,85","3,8"
Vila Flor,"4,21","0,77","3,2"
