cidade,aprendizado,fluxo,ideb
Acari,"5,68","0,99","5,6"
Açu,"4,21","0,83","3,5"
Afonso Bezerra,"4,02","0,85","3,4"
Água Nova,"5,03","0,85","4,3"
Alexandria,"5,25","0,85","4,5"
Almino Afonso,-,"0,91",-
Alto do Rodrigues,"4,45","0,88","3,9"
Angicos,"4,44","0,79","3,5"
Antônio Martins,"4,7","0,81","3,8"
Apodi,"5,19","0,89","4,6"
Areia Branca,"4,6","0,86","3,9"
Arês,"4,38","0,82","3,6"
Baía Formosa,"4,19","0,82","3,5"
Baraúna,"4,69","0,87","4,1"
Barcelona,"4,39","0,85","3,7"
Bento Fernandes,"3,68","0,84","3,1"
Bodó,"4,22","0,83","3,5"
Bom Jesus,"4,25","0,83","3,5"
Brejinho,"3,82","0,87","3,3"
Caiçara do Norte,"4,75","0,84",4
Caiçara do Rio do Vento,"3,75","0,81",3
Caicó,"4,92","0,91","4,5"
Campo Grande,"4,07","0,91","3,7"
Campo Redondo,"4,49","0,9",4
Canguaretama,"4,52","0,84","3,8"
Caraúbas,"4,38","0,84","3,7"
Carnaúba dos Dantas,"5,06","0,96","4,8"
Carnaubais,"4,88","0,75","3,6"
Ceará-Mirim,"4,51","0,79","3,5"
Cerro Corá,"4,07","0,94","3,8"
Coronel Ezequiel,"4,71","0,86",4
Coronel João Pessoa,"4,36","0,81","3,5"
Cruzeta,"5,24","0,97","5,1"
Currais Novos,"5,26","0,93","4,9"
Doutor Severiano,"5,15","0,92","4,7"
Encanto,"5,55","0,84","4,7"
Equador,"4,66","0,88","4,1"
Espírito Santo,"3,74","0,73","2,7"
Extremoz,"4,18","0,82","3,4"
Felipe Guerra,"4,91","0,89","4,4"
Fernando Pedroza,"4,49","0,75","3,4"
Florânia,"4,2","0,93","3,9"
Francisco Dantas,"4,96","0,82","4,1"
Frutuoso Gomes,"5,02","0,86","4,3"
Galinhos,-,"0,86",-
Goianinha,"5,41","0,84","4,5"
Governador Dix-Sept Rosado,"4,83","0,79","3,8"
Grossos,"4,48","0,81","3,6"
Guamaré,"4,6","0,88",4
Ielmo Marinho,"5,09","0,89","4,5"
Ipanguaçu,"3,66","0,84","3,1"
Ipueira,"6,43","0,96","6,2"
Itajá,"4,04","0,86","3,5"
Itaú,"4,89","0,95","4,7"
Jaçanã,"4,91","0,94","4,6"
Jandaíra,"3,57","0,81","2,9"
Janduís,"4,84","0,87","4,2"
Januário Cicco,"4,03","0,84","3,4"
Japi,"4,04","0,86","3,5"
Jardim de Angicos,"4,9","0,7","3,4"
Jardim de Piranhas,"4,98","0,8",4
Jardim do Seridó,"5,18","0,89","4,6"
João Câmara,"3,75","0,85","3,2"
João Dias,"4,23","0,76","3,2"
José da Penha,"4,75","0,84",4
Jucurutu,"4,98","0,85","4,2"
Jundiá,-,-,-
Lagoa d'Anta,"4,02","0,86","3,5"
Lagoa de Pedras,"4,14","0,9","3,7"
Lagoa de Velhos,"4,48","0,79","3,5"
Lagoa Nova,"5,31","0,87","4,6"
Lagoa Salgada,"4,49","0,88",4
Lajes,"5,1","0,86","4,4"
Lajes Pintadas,"3,97","0,89","3,5"
Lucrécia,"5,67","0,92","5,2"
Luís Gomes,"4,56","0,8","3,7"
Macaíba,"4,48","0,83","3,7"
Macau,"4,14","0,81","3,4"
Major Sales,"5,26","0,86","4,5"
Marcelino Vieira,"4,01","0,84","3,4"
Martins,"5,24","0,92","4,8"
Maxaranguape,"4,11","0,88","3,6"
Messias Targino,"4,34","0,87","3,8"
Montanhas,"4,5","0,8","3,6"
Monte Alegre,"3,9","0,77",3
Monte das Gameleiras,"3,89","0,78",3
Mossoró,"5,22","0,91","4,8"
Natal,"4,74","0,87","4,1"
Nísia Floresta,"4,33","0,85","3,7"
Nova Cruz,"4,1","0,79","3,2"
Olho d'Água do Borges,"3,68","0,92","3,4"
Ouro Branco,"5,49","0,9",5
Paraná,-,-,-
Paraú,"3,35","0,84","2,8"
Parazinho,"4,02","0,82","3,3"
Parelhas,"5,53","0,89","4,9"
Parnamirim,"4,76","0,88","4,2"
Passa e Fica,"4,19","0,85","3,6"
Passagem,"4,49","0,92","4,1"
Patu,"4,37","0,83","3,6"
Pau dos Ferros,"5,13","0,88","4,5"
Pedra Grande,"4,49","0,79","3,6"
Pedra Preta,"3,75","0,83","3,1"
Pedro Avelino,"4,58","0,84","3,8"
Pedro Velho,"4,16","0,8","3,3"
Pendências,"4,25","0,86","3,7"
Pilões,"4,9","0,8","3,9"
Poço Branco,"3,78","0,86","3,2"
Portalegre,"5,06","0,83","4,2"
Porto do Mangue,"4,01","0,85","3,4"
Pureza,"4,24","0,85","3,6"
Rafael Fernandes,"5,12","0,84","4,3"
Rafael Godeiro,"5,3","0,87","4,6"
Riacho da Cruz,"4,89","0,85","4,1"
Riacho de Santana,"5,11","0,84","4,3"
Riachuelo,"3,98","0,83","3,3"
