cidade,aprendizado,fluxo,ideb
Acari,"6,39",1,"6,4"
Açu,"4,99","0,94","4,7"
Afonso Bezerra,"4,45","0,97","4,3"
Água Nova,-,"0,97",-
Alexandria,"5,11","0,96","4,9"
Almino Afonso,"5,26","0,97","5,1"
Alto do Rodrigues,"6,24","0,97",6
Angicos,"5,3","0,92","4,9"
Antônio Martins,"5,15","0,84","4,3"
Apodi,"5,71","0,96","5,5"
Areia Branca,"5,31","0,93",5
Arês,"4,6","0,84","3,9"
Baía Formosa,"5,56","0,9",5
Baraúna,"5,36","0,96","5,2"
Barcelona,"5,13","0,94","4,8"
Bento Fernandes,"4,15","0,86","3,6"
Bodó,"5,53","0,92","5,1"
Bom Jesus,"4,83","0,94","4,5"
Brejinho,"4,87","0,98","4,8"
Caiçara do Norte,"4,54","0,85","3,9"
Caiçara do Rio do Vento,"4,53","0,94","4,2"
Caicó,"5,5","0,97","5,4"
Campo Grande,"5,45","0,95","5,2"
Campo Redondo,"5,2","0,97","5,1"
Canguaretama,"5,11","0,92","4,7"
Caraúbas,"5,11","0,97","4,9"
Carnaúba dos Dantas,"5,81","0,99","5,7"
Carnaubais,"5,86","0,91","5,3"
Ceará-Mirim,"4,75","0,9","4,3"
Cerro Corá,"5,51","0,96","5,3"
Coronel Ezequiel,"4,91","0,95","4,7"
Coronel João Pessoa,"4,74","0,92","4,4"
Cruzeta,"6,93",1,"6,9"
Currais Novos,"5,71","0,99","5,6"
Doutor Severiano,"6,5","0,99","6,4"
Encanto,"5,82","0,94","5,5"
Equador,"6,03","0,98","5,9"
Espírito Santo,"4,29","0,84","3,6"
Extremoz,"4,82","0,91","4,4"
Felipe Guerra,"5,65","0,96","5,4"
Fernando Pedroza,"4,42","0,87","3,9"
Florânia,"4,65","0,97","4,5"
Francisco Dantas,"5,4","0,95","5,1"
Frutuoso Gomes,"5,35","0,91","4,8"
Galinhos,"4,45","0,98","4,4"
Goianinha,"5,04","0,91","4,6"
Governador Dix-Sept Rosado,"4,81","0,93","4,5"
Grossos,"5,3","0,94",5
Guamaré,"5,17","0,92","4,8"
Ielmo Marinho,"4,94","0,92","4,5"
Ipanguaçu,"4,97","0,95","4,7"
Ipueira,"7,68","0,98","7,6"
Itajá,"5,13","0,97",5
Itaú,"5,45","0,96","5,2"
Jaçanã,"5,97","0,98","5,8"
Jandaíra,"4,71","0,96","4,5"
Janduís,"5,36","0,97","5,2"
Januário Cicco,"5,35","0,87","4,7"
Japi,"4,43","0,9",4
Jardim de Angicos,-,"0,91",-
Jardim de Piranhas,"5,24","0,91","4,8"
Jardim do Seridó,"6,13","0,97",6
João Câmara,"4,44","0,97","4,3"
João Dias,"4,86","0,85","4,1"
José da Penha,"5,25","0,97","5,1"
Jucurutu,"5,17","0,95","4,9"
Jundiá,"5,04","0,88","4,5"
Lagoa d'Anta,"4,39","0,94","4,1"
Lagoa de Pedras,"4,08","0,92","3,7"
Lagoa de Velhos,"4,23","0,94",4
Lagoa Nova,"5,75","0,97","5,6"
Lagoa Salgada,"4,71","0,88","4,2"
Lajes,"4,9","0,93","4,6"
Lajes Pintadas,"4,45","0,92","4,1"
Lucrécia,"5,75","0,95","5,5"
Luís Gomes,"5,62","0,9",5
Macaíba,"4,74","0,93","4,4"
Macau,"4,73","0,93","4,4"
Major Sales,"5,36","0,81","4,3"
Marcelino Vieira,"4,81","0,95","4,6"
Martins,"6,07","0,94","5,7"
Maxaranguape,"4,61","0,93","4,3"
Messias Targino,"5,36","0,95","5,1"
Montanhas,"5,37","0,92","4,9"
Monte Alegre,"5,23","0,94","4,9"
Monte das Gameleiras,"4,68","0,89","4,2"
Mossoró,"5,77","0,94","5,5"
Natal,"5,06","0,91","4,6"
Nísia Floresta,"4,92","0,95","4,7"
Nova Cruz,"4,73","0,89","4,2"
Olho d'Água do Borges,"4,43","0,93","4,1"
Ouro Branco,6,1,6
Paraná,"5,6","0,94","5,3"
Paraú,-,"0,88",-
Parazinho,5,"0,98","4,9"
Parelhas,"5,65","0,96","5,5"
Parnamirim,"5,16","0,93","4,8"
Passa e Fica,"5,21","0,95",5
Passagem,"4,66","0,97","4,5"
Patu,"5,79","0,94","5,5"
Pau dos Ferros,"5,51","0,98","5,4"
Pedra Grande,-,"0,92",-
Pedra Preta,"4,69","0,92","4,3"
Pedro Avelino,"4,18","0,91","3,8"
Pedro Velho,"4,44","0,93","4,1"
Pendências,"4,67","0,96","4,5"
Pilões,5,"0,94","4,7"
Poço Branco,"4,28","0,87","3,7"
Portalegre,"5,47","0,94","5,2"
Porto do Mangue,"5,07","0,95","4,8"
Pureza,"4,37","0,91",4
Rafael Fernandes,"5,76","0,92","5,3"
Rafael Godeiro,"6,4","0,93",6
Riacho da Cruz,"5,42","0,95","5,2"
Riacho de Santana,"5,27","0,93","4,9"
Riachuelo,"4,85","0,91","4,4"
Rio do Fogo,"4,22","0,85","3,6"
Rodolfo Fernandes,"5,44","0,93",5
Ruy Barbosa,"5,54","0,95","5,3"
Santa Cruz,"4,94","0,98","4,9"
Santa Maria,"4,7","0,87","4,1"
Santana do Matos,"5,37","0,9","4,8"
Santana do Seridó,"5,45","0,99","5,4"
Santo Antônio,"5,25","0,94","4,9"
São Bento do Norte,"4,67","0,9","4,2"
São Bento do Trairí,"4,82","0,98","4,7"
São Fernando,-,"0,98",-
São Francisco do Oeste,"5,98","0,97","5,8"
São Gonçalo do Amarante,"4,91","0,91","4,5"
São João do Sabugi,"6,38","0,98","6,3"
São José de Mipibu,"4,91","0,91","4,5"
São José do Campestre,"4,75","0,95","4,5"
São José do Seridó,"5,37","0,96","5,1"
São Miguel,"5,85","0,96","5,6"
São Miguel do Gostoso,"5,56","0,87","4,8"
São Paulo do Potengi,"4,45","0,94","4,2"
São Pedro,"4,8","0,9","4,3"
São Rafael,"5,01","0,94","4,7"
São Tomé,"4,35","0,89","3,9"
São Vicente,"5,32","0,99","5,2"
Senador Elói de Souza,"4,36","0,89","3,9"
Senador Georgino Avelino,"4,69","0,9","4,2"
Serra Caiada,"4,56","0,93","4,3"
Serra de São Bento,"5,14","0,95","4,9"
Serra do Mel,"4,75","0,92","4,4"
Serra Negra do Norte,-,"0,96",-
Serrinha,"6,34","0,98","6,2"
Serrinha dos Pintos,"5,12","0,97",5
Severiano Melo,"5,59","0,94","5,3"
Sítio Novo,5,1,5
Taboleiro Grande,"5,65",1,"5,6"
Taipu,"4,5","0,94","4,2"
Tangará,"4,84","0,93","4,5"
Tenente Ananias,"6,12","0,98",6
Tenente Laurentino Cruz,"4,98","0,97","4,9"
Tibau,"5,41","0,96","5,2"
Tibau do Sul,"5,23","0,89","4,6"
Timbaúba dos Batistas,"4,81","0,91","4,4"
Touros,"4,99","0,89","4,4"
Triunfo Potiguar,"4,56","0,96","4,4"
Umarizal,"5,46","0,97","5,3"
Upanema,5,"0,94","4,7"
Várzea,"4,46","0,88","3,9"
Venha-Ver,"5,02","0,94","4,7"
Vera Cruz,"5,33","0,98","5,2"
Viçosa,"5,6","0,96","5,4"
Vila Flor,"4,41","0,96","4,2"
