cidade,aprendizado,fluxo,ideb
Acari,"5,83",1,"5,8"
Açu,"4,73","0,94","4,5"
Afonso Bezerra,"3,82","0,88","3,4"
Água Nova,"5,2","0,99","5,1"
Alexandria,"4,87","0,94","4,6"
Almino Afonso,"4,94","0,89","4,4"
Alto do Rodrigues,"5,66","0,99","5,6"
Angicos,"4,96","0,87","4,3"
Antônio Martins,"4,59","0,8","3,7"
Apodi,"5,19","0,95","4,9"
Areia Branca,"4,88","0,95","4,6"
Arês,"4,18","0,84","3,5"
Baía Formosa,-,"0,95",-
Baraúna,"5,07","0,85","4,3"
Barcelona,-,1,-
Bento Fernandes,-,"0,89",-
Bodó,-,"0,99",-
Bom Jesus,"4,83","0,89","4,3"
Brejinho,"5,09","0,99","5,1"
Caiçara do Norte,"4,25","0,85","3,6"
Caiçara do Rio do Vento,"4,47","0,99","4,4"
Caicó,"5,53","0,97","5,4"
Campo Grande,"5,14","0,97",5
Campo Redondo,"5,35","0,98","5,3"
Canguaretama,"4,57","0,9","4,1"
Caraúbas,"5,06","0,92","4,6"
Carnaúba dos Dantas,"5,85",1,"5,8"
Carnaubais,"5,13","0,87","4,4"
Ceará-Mirim,"4,67","0,88","4,1"
Cerro Corá,"4,68",1,"4,7"
Coronel Ezequiel,"4,26","0,9","3,8"
Coronel João Pessoa,-,"0,9",-
Cruzeta,"6,48","0,99","6,4"
Currais Novos,"5,34","0,97","5,2"
Doutor Severiano,"5,49","0,95","5,2"
Encanto,"5,28","0,92","4,9"
Equador,"5,38","0,97","5,2"
Espírito Santo,"4,19","0,86","3,6"
Extremoz,"4,64","0,85","3,9"
Felipe Guerra,"5,25","0,94","4,9"
Fernando Pedroza,"4,55","0,9","4,1"
Florânia,"4,86","0,99","4,8"
Francisco Dantas,-,-,-
Frutuoso Gomes,"4,96","0,97","4,8"
Galinhos,-,"0,96",-
Goianinha,"4,97","0,87","4,3"
Governador Dix-Sept Rosado,-,"0,98",-
Grossos,"5,26","0,85","4,5"
Guamaré,-,"0,92",-
Ielmo Marinho,-,"0,98",-
Ipanguaçu,"4,18","0,93","3,9"
Ipueira,"5,31",1,"5,3"
Itajá,"4,72","0,99","4,7"
Itaú,"4,76","0,98","4,7"
Jaçanã,"4,76","0,99","4,7"
Jandaíra,"4,51","0,98","4,4"
Janduís,"4,53","0,94","4,2"
Januário Cicco,-,"0,87",-
Japi,"4,06","0,92","3,7"
Jardim de Angicos,-,"0,86",-
Jardim de Piranhas,"4,87","0,97","4,7"
Jardim do Seridó,"5,93","0,94","5,6"
João Câmara,"4,22","0,98","4,1"
João Dias,-,"0,8",-
José da Penha,"4,1","0,98",4
Jucurutu,"4,57","0,92","4,2"
Jundiá,"4,88","0,91","4,4"
Lagoa d'Anta,"4,45","0,98","4,3"
Lagoa de Pedras,-,"0,96",-
Lagoa de Velhos,"5,2","0,87","4,5"
Lagoa Nova,"5,01","0,89","4,5"
Lagoa Salgada,"4,62","0,98","4,5"
Lajes,"4,79","0,94","4,5"
Lajes Pintadas,-,"0,9",-
Lucrécia,"4,86","0,91","4,4"
Luís Gomes,"5,09","0,8","4,1"
Macaíba,"4,79","0,91","4,4"
Macau,"4,8","0,94","4,5"
Major Sales,-,"0,82",-
Marcelino Vieira,"4,03","0,98","3,9"
Martins,"5,34","0,94",5
Maxaranguape,-,"0,93",-
Messias Targino,"4,34","0,95","4,1"
Montanhas,"4,68","0,92","4,3"
Monte Alegre,"4,77","0,9","4,3"
Monte das Gameleiras,-,"0,77",-
Mossoró,"5,47","0,94","5,1"
Natal,"4,9","0,89","4,4"
Nísia Floresta,"4,5","0,95","4,3"
Nova Cruz,"4,01","0,98","3,9"
Olho d'Água do Borges,"4,5","0,92","4,1"
Ouro Branco,-,"0,99",-
Paraná,"5,55","0,87","4,8"
Paraú,-,"0,9",-
Parazinho,"4,51","0,93","4,2"
Parelhas,"5,23","0,92","4,8"
Parnamirim,"4,99","0,91","4,5"
Passa e Fica,"4,74","0,92","4,4"
Passagem,-,"0,94",-
Patu,"5,01","0,87","4,4"
Pau dos Ferros,"5,17","0,98","5,1"
Pedra Grande,"4,54","0,97","4,4"
Pedra Preta,-,"0,97",-
Pedro Avelino,"4,61","0,84","3,9"
Pedro Velho,"4,47","0,88","3,9"
Pendências,"4,55","0,98","4,5"
Pilões,"5,21","0,96",5
Poço Branco,"4,17","0,91","3,8"
Portalegre,"5,12","0,96","4,9"
Porto do Mangue,"5,19","0,9","4,7"
Pureza,"4,46","0,92","4,1"
Rafael Fernandes,"5,18","0,86","4,4"
Rafael Godeiro,"6,23","0,93","5,8"
Riacho da Cruz,"5,2","0,94","4,9"
Riacho de Santana,-,"0,94",-
Riachuelo,"4,16","0,99","4,1"
Rio do Fogo,-,"0,97",-
Rodolfo Fernandes,"4,98",1,5
Ruy Barbosa,"5,11",1,"5,1"
Santa Cruz,"4,86","0,99","4,8"
Santa Maria,"4,58","0,99","4,5"
Santana do Matos,"4,93","0,87","4,3"
Santana do Seridó,-,1,-
Santo Antônio,"5,15","0,98",5
São Bento do Norte,-,"0,83",-
São Bento do Trairí,"4,87","0,92","4,5"
São Fernando,"5,93",1,"5,9"
São Francisco do Oeste,"4,83","0,93","4,5"
São Gonçalo do Amarante,"4,66","0,92","4,3"
São João do Sabugi,"5,82","0,98","5,7"
São José de Mipibu,"4,8","0,87","4,2"
São José do Campestre,"4,17","0,93","3,9"
São José do Seridó,"5,54",1,"5,5"
São Miguel,"5,52",1,"5,5"
São Miguel do Gostoso,"4,92","0,9","4,4"
São Paulo do Potengi,"4,61",1,"4,6"
São Pedro,"4,23","0,89","3,8"
São Rafael,"4,52","0,85","3,8"
São Tomé,"4,56","0,89",4
São Vicente,"4,86","0,97","4,7"
Senador Elói de Souza,"4,71","0,89","4,2"
Senador Georgino Avelino,"4,08","0,87","3,5"
Serra Caiada,"4,44","0,95","4,2"
Serra de São Bento,"4,36","0,89","3,9"
Serra do Mel,-,"0,98",-
Serra Negra do Norte,"4,99","0,99","4,9"
Serrinha,"5,15","0,98","5,1"
Serrinha dos Pintos,"5,12","0,97",5
Severiano Melo,"5,25","0,99","5,2"
Sítio Novo,"4,9","0,96","4,7"
Taboleiro Grande,"5,27",1,"5,3"
Taipu,"4,26","0,91","3,9"
Tangará,"4,75","0,9","4,3"
Tenente Ananias,"5,71","0,96","5,5"
Tenente Laurentino Cruz,-,1,-
Tibau,"5,49","0,99","5,4"
Tibau do Sul,"4,62","0,9","4,1"
Timbaúba dos Batistas,"5,17","0,98","5,1"
Touros,"4,4","0,97","4,3"
Triunfo Potiguar,"4,31","0,89","3,8"
Umarizal,"4,86","0,94","4,6"
Upanema,"4,99","0,92","4,6"
Várzea,-,"0,84",-
Venha-Ver,-,"0,9",-
Vera Cruz,"4,68",1,"4,7"
Viçosa,"5,62","0,94","5,3"
Vila Flor,-,"0,92",-
