cidade,aprendizado,fluxo,ideb
Acari,"5,04","0,95","4,8"
Açu,"4,24","0,75","3,2"
Afonso Bezerra,"3,27","0,74","2,4"
Água Nova,"4,41","0,83","3,6"
Alexandria,"4,65","0,74","3,4"
Almino Afonso,"4,36","0,74","3,2"
Alto do Rodrigues,"4,25","0,83","3,5"
Angicos,"4,49","0,83","3,7"
Antônio Martins,"4,43","0,7","3,1"
Apodi,"4,95","0,84","4,1"
Areia Branca,"4,11","0,82","3,4"
Arês,"3,54","0,85",3
Baía Formosa,4,"0,82","3,3"
Baraúna,"4,87","0,83","4,1"
Barcelona,"3,93","0,81","3,2"
Bento Fernandes,"3,95","0,83","3,3"
Bodó,"4,35","0,88","3,8"
Bom Jesus,"3,98","0,72","2,9"
Brejinho,"4,16","0,79","3,3"
Caiçara do Norte,"4,29","0,62","2,7"
Caiçara do Rio do Vento,"4,06","0,9","3,6"
Caicó,"4,37","0,87","3,8"
Campo Grande,"3,47","0,79","2,7"
Campo Redondo,"4,21","0,87","3,7"
Canguaretama,"4,36","0,86","3,8"
Caraúbas,"4,27","0,84","3,6"
Carnaúba dos Dantas,"5,07","0,83","4,2"
Carnaubais,"4,26","0,73","3,1"
Ceará-Mirim,"4,07","0,71","2,9"
Cerro Corá,"3,99","0,84","3,3"
Coronel Ezequiel,"3,82","0,84","3,2"
Coronel João Pessoa,"4,22","0,82","3,5"
Cruzeta,"5,32","0,98","5,2"
Currais Novos,"4,69","0,83","3,9"
Doutor Severiano,"3,75","0,89","3,3"
Encanto,"4,73","0,72","3,4"
Equador,"4,52","0,87","3,9"
Espírito Santo,"3,94","0,6","2,3"
Extremoz,"4,17","0,72",3
Felipe Guerra,"5,09","0,9","4,6"
Fernando Pedroza,"4,2","0,71",3
Florânia,"4,34","0,87","3,8"
Francisco Dantas,-,"0,81",-
Frutuoso Gomes,"4,72","0,72","3,4"
Galinhos,"4,41","0,86","3,8"
Goianinha,"4,72","0,77","3,7"
Governador Dix-Sept Rosado,"4,5","0,77","3,4"
Grossos,"3,88","0,76",3
Guamaré,"4,42","0,79","3,5"
Ielmo Marinho,"4,81","0,85","4,1"
Ipanguaçu,"3,32","0,76","2,5"
Ipueira,"4,29","0,93",4
Itajá,"3,44","0,84","2,9"
Itaú,"4,58","0,88",4
Jaçanã,"4,25","0,85","3,6"
Jandaíra,"3,93","0,82","3,2"
Janduís,"4,35","0,76","3,3"
Januário Cicco,"4,18","0,83","3,5"
Japi,"3,74","0,82","3,1"
Jardim de Angicos,"4,87","0,54","2,6"
Jardim de Piranhas,"4,54","0,79","3,6"
Jardim do Seridó,"4,67","0,85",4
João Câmara,"3,56","0,81","2,9"
João Dias,"3,89","0,73","2,8"
José da Penha,"4,54","0,86","3,9"
Jucurutu,"4,36","0,79","3,5"
Jundiá,"3,98","0,72","2,9"
Lagoa d'Anta,"4,03","0,8","3,2"
Lagoa de Pedras,"4,01","0,79","3,1"
Lagoa de Velhos,"4,12","0,76","3,1"
Lagoa Nova,"5,2","0,85","4,4"
Lagoa Salgada,"4,03","0,79","3,2"
Lajes,"4,05","0,81","3,3"
Lajes Pintadas,"3,64","0,88","3,2"
Lucrécia,-,"0,85",-
Luís Gomes,"4,63","0,69","3,2"
Macaíba,"3,83","0,74","2,8"
Macau,"4,07","0,79","3,2"
Major Sales,"4,36","0,85","3,7"
Marcelino Vieira,"4,03","0,74",3
Martins,"4,53","0,77","3,5"
Maxaranguape,"4,05","0,84","3,4"
Messias Targino,"3,86","0,85","3,3"
Montanhas,"4,13","0,8","3,3"
Monte Alegre,"3,74","0,77","2,9"
Monte das Gameleiras,"3,42","0,8","2,7"
Mossoró,"4,85","0,85","4,1"
Natal,"4,43","0,83","3,7"
Nísia Floresta,"4,25","0,79","3,4"
Nova Cruz,"3,76","0,78","2,9"
Olho d'Água do Borges,"4,22","0,88","3,7"
Ouro Branco,"4,98","0,84","4,2"
Paraná,-,"0,81",-
Paraú,"3,3","0,8","2,6"
Parazinho,4,"0,65","2,6"
Parelhas,"5,16","0,89","4,6"
Parnamirim,"4,54","0,88",4
Passa e Fica,"4,03","0,82","3,3"
Passagem,"4,66","0,81","3,8"
Patu,"4,01","0,7","2,8"
Pau dos Ferros,"4,52","0,82","3,7"
Pedra Grande,"4,42","0,71","3,1"
Pedra Preta,"3,67","0,76","2,8"
Pedro Avelino,"4,08","0,63","2,6"
Pedro Velho,"4,38","0,79","3,4"
Pendências,"3,78","0,83","3,1"
Pilões,"3,77","0,73","2,7"
Poço Branco,"3,63","0,81","2,9"
Portalegre,"3,98","0,79","3,1"
Porto do Mangue,"4,11","0,78","3,2"
Pureza,"4,13","0,76","3,1"
Rafael Fernandes,"4,79","0,83",4
Rafael Godeiro,"5,06","0,81","4,1"
Riacho da Cruz,"3,91","0,64","2,5"
Riacho de Santana,"4,51","0,91","4,1"
Riachuelo,"3,83","0,87","3,3"
Rio do Fogo,"3,7","0,74","2,8"
Rodolfo Fernandes,"3,78","0,83","3,1"
Ruy Barbosa,"3,2","0,88","2,8"
Santa Cruz,"3,91","0,86","3,4"
Santa Maria,"4,09","0,71","2,9"
Santana do Matos,"3,99","0,8","3,2"
Santana do Seridó,"5,61","0,81","4,5"
Santo Antônio,"4,14","0,82","3,4"
São Bento do Norte,"4,17","0,7","2,9"
São Bento do Trairí,"4,13","0,89","3,7"
São Fernando,"4,25","0,82","3,5"
São Francisco do Oeste,"4,63","0,72","3,3"
São Gonçalo do Amarante,"4,2","0,75","3,2"
São João do Sabugi,"5,54","0,89","4,9"
São José de Mipibu,"3,87","0,78",3
São José do Campestre,"3,84","0,79",3
São José do Seridó,"4,92","0,93","4,6"
São Miguel,"4,62","0,82","3,8"
São Miguel do Gostoso,"4,71","0,73","3,4"
São Paulo do Potengi,"3,94","0,81","3,2"
São Pedro,"4,03","0,77","3,1"
São Rafael,"4,23","0,81","3,4"
São Tomé,"3,76","0,79",3
São Vicente,"4,95","0,88","4,4"
Senador Elói de Souza,"3,47","0,81","2,8"
Senador Georgino Avelino,"4,02","0,72","2,9"
Serra Caiada,4,"0,87","3,5"
Serra de São Bento,"3,94","0,75",3
Serra do Mel,"4,46","0,85","3,8"
Serra Negra do Norte,"4,4","0,83","3,7"
Serrinha,"4,67","0,82","3,8"
Serrinha dos Pintos,"4,49","0,78","3,5"
Severiano Melo,"3,7","0,83","3,1"
Sítio Novo,"2,93","0,87","2,5"
Taboleiro Grande,"3,75","0,84","3,1"
Taipu,"3,59","0,77","2,8"
Tangará,"3,91","0,85","3,3"
Tenente Ananias,"4,32","0,82","3,5"
Tenente Laurentino Cruz,"4,58","0,84","3,8"
Tibau,"3,97","0,82","3,2"
Tibau do Sul,"4,33","0,76","3,3"
Timbaúba dos Batistas,"4,25","0,75","3,2"
Touros,"3,84","0,75","2,9"
Triunfo Potiguar,"4,51","0,81","3,6"
Umarizal,"4,16","0,83","3,4"
Upanema,"4,59","0,82","3,8"
Várzea,"3,64","0,87","3,2"
Venha-Ver,"3,66","0,83",3
Vera Cruz,"4,2","0,8","3,4"
Viçosa,"4,48","0,68","3,1"
Vila Flor,"3,82","0,68","2,6"
