cidade,aprendizado,fluxo,ideb
Acari,"4,77","0,96","4,6"
Açu,"3,74","0,77","2,9"
Afonso Bezerra,"3,55","0,83","2,9"
Água Nova,"3,91","0,82","3,2"
Alexandria,"4,17","0,68","2,8"
Almino Afonso,"3,75","0,69","2,6"
Alto do Rodrigues,"3,9","0,88","3,4"
Angicos,"3,78","0,75","2,8"
Antônio Martins,"4,19","0,66","2,8"
Apodi,"4,21","0,83","3,5"
Areia Branca,"3,19","0,83","2,6"
Arês,"3,67","0,81",3
Baía Formosa,"4,02","0,91","3,7"
Baraúna,"3,01","0,75","2,3"
Barcelona,"4,14","0,82","3,4"
Bento Fernandes,"3,93","0,71","2,8"
Bodó,"3,9","0,83","3,2"
Bom Jesus,"3,91","0,74","2,9"
Brejinho,"3,77","0,78","2,9"
Caiçara do Norte,"3,84","0,66","2,5"
Caiçara do Rio do Vento,"3,89","0,83","3,2"
Caicó,"3,62","0,89","3,2"
Campo Grande,"3,48","0,85",3
Campo Redondo,"3,57","0,86","3,1"
Canguaretama,"4,17","0,74","3,1"
Caraúbas,"4,22","0,77","3,2"
Carnaúba dos Dantas,"4,15","0,89","3,7"
Carnaubais,"3,99","0,7","2,8"
Ceará-Mirim,"3,93","0,68","2,7"
Cerro Corá,"3,81","0,91","3,5"
Coronel Ezequiel,"4,07","0,89","3,6"
Coronel João Pessoa,"3,48","0,82","2,9"
Cruzeta,"4,53","0,94","4,3"
Currais Novos,"4,34","0,8","3,5"
Doutor Severiano,"3,99","0,91","3,7"
Encanto,"4,14","0,81","3,4"
Equador,"4,03","0,86","3,5"
Espírito Santo,"3,97","0,85","3,4"
Extremoz,"3,61","0,76","2,7"
Felipe Guerra,"3,87","0,86","3,3"
Fernando Pedroza,"3,5","0,65","2,3"
Florânia,"4,38","0,83","3,6"
Francisco Dantas,"3,89","0,84","3,3"
Frutuoso Gomes,"4,04","0,6","2,4"
Galinhos,"3,86","0,75","2,9"
Goianinha,"4,02","0,78","3,1"
Governador Dix-Sept Rosado,"3,6","0,74","2,7"
Grossos,"3,48","0,82","2,8"
Guamaré,"4,12","0,86","3,5"
Ielmo Marinho,"4,17","0,89","3,7"
Ipanguaçu,"3,31","0,84","2,8"
Ipueira,"3,78","0,9","3,4"
Itajá,"3,56","0,75","2,7"
Itaú,"3,77","0,79",3
Jaçanã,"4,19","0,89","3,7"
Jandaíra,"3,67","0,89","3,3"
Janduís,"3,57","0,78","2,8"
Januário Cicco,"3,63","0,96","3,5"
Japi,"3,47","0,83","2,9"
Jardim de Angicos,"4,21","0,81","3,4"
Jardim de Piranhas,"3,76","0,82","3,1"
Jardim do Seridó,"3,97","0,91","3,6"
João Câmara,"3,7","0,82","3,1"
João Dias,"3,52","0,49","1,7"
José da Penha,"4,21","0,73","3,1"
Jucurutu,"3,46","0,81","2,8"
Jundiá,"3,92","0,78","3,1"
Lagoa d'Anta,"3,04","0,79","2,4"
Lagoa de Pedras,"3,63","0,83",3
Lagoa de Velhos,"4,11","0,77","3,2"
Lagoa Nova,"4,04","0,76","3,1"
Lagoa Salgada,"3,52","0,76","2,7"
Lajes,"3,73","0,89","3,3"
Lajes Pintadas,"3,75","0,91","3,4"
Lucrécia,"3,65","0,88","3,2"
Luís Gomes,"4,01","0,79","3,2"
Macaíba,"3,81","0,79",3
Macau,"3,83","0,75","2,9"
Major Sales,"3,86","0,88","3,4"
Marcelino Vieira,"3,76","0,8",3
Martins,"4,02","0,78","3,1"
Maxaranguape,"4,2","0,84","3,5"
Messias Targino,"3,23","0,81","2,6"
Montanhas,"3,75","0,83","3,1"
Monte Alegre,"3,78","0,8",3
Monte das Gameleiras,"3,64","0,84",3
Mossoró,"3,52","0,84",3
Natal,"4,08","0,84","3,4"
Nísia Floresta,"3,8","0,79",3
Nova Cruz,"4,15","0,83","3,5"
Olho d'Água do Borges,"3,77","0,63","2,4"
Ouro Branco,"3,87","0,76","2,9"
Paraná,"3,97","0,69","2,7"
Paraú,"3,37","0,82","2,8"
Parazinho,"3,92","0,83","3,2"
Parelhas,"4,5","0,83","3,7"
Parnamirim,"4,32","0,87","3,7"
Passa e Fica,"4,14","0,79","3,3"
Passagem,"4,16","0,69","2,9"
Patu,"4,03","0,72","2,9"
Pau dos Ferros,"4,07","0,74",3
Pedra Grande,"3,62","0,73","2,6"
Pedra Preta,"3,46","0,74","2,6"
Pedro Avelino,"3,79","0,66","2,5"
Pedro Velho,"4,11","0,8","3,3"
Pendências,"3,51","0,85",3
Pilões,"3,88","0,84","3,2"
Poço Branco,"3,85","0,69","2,6"
Portalegre,"3,87","0,8","3,1"
Porto do Mangue,"4,09","0,85","3,5"
Pureza,"4,25","0,75","3,2"
Rafael Fernandes,"4,53","0,73","3,3"
Rafael Godeiro,"4,23","0,7","2,9"
Riacho da Cruz,"3,43","0,76","2,6"
Riacho de Santana,"4,14","0,88","3,6"
Riachuelo,"3,74","0,67","2,5"
Rio do Fogo,"3,75","0,79",3
Rodolfo Fernandes,"4,48","0,87","3,9"
Ruy Barbosa,"3,73","0,82",3
Santa Cruz,"3,75","0,85","3,2"
Santa Maria,"3,59","0,75","2,7"
Santana do Matos,"3,63","0,81","2,9"
Santana do Seridó,"4,49","0,89",4
Santo Antônio,"3,87","0,85","3,3"
São Bento do Norte,"3,79","0,7","2,6"
São Bento do Trairí,-,-,-
São Fernando,"3,87","0,83","3,2"
São Francisco do Oeste,"3,91","0,69","2,7"
São Gonçalo do Amarante,"3,74","0,81",3
São João do Sabugi,"4,37","0,86","3,8"
São José de Mipibu,"3,6","0,75","2,7"
São José do Campestre,"3,65","0,72","2,6"
São José do Seridó,"4,13","0,93","3,8"
São Miguel,"4,36","0,83","3,6"
São Miguel do Gostoso,"4,12","0,7","2,9"
São Paulo do Potengi,"3,89","0,87","3,4"
São Pedro,"3,81","0,72","2,7"
São Rafael,"3,51","0,79","2,8"
São Tomé,"3,92","0,73","2,9"
São Vicente,"4,3","0,84","3,6"
Senador Elói de Souza,"3,48","0,81","2,8"
Senador Georgino Avelino,"3,61","0,67","2,4"
Serra Caiada,"4,46","0,85","3,8"
Serra de São Bento,"3,92","0,8","3,2"
Serra do Mel,"3,98","0,9","3,6"
Serra Negra do Norte,"4,06","0,82","3,3"
Serrinha,"4,25","0,81","3,5"
Serrinha dos Pintos,"3,35","0,7","2,3"
Severiano Melo,"4,29","0,82","3,5"
Sítio Novo,"3,66","0,84","3,1"
Taboleiro Grande,"4,98","0,88","4,4"
Taipu,"3,61","0,72","2,6"
Tangará,"4,18","0,93","3,9"
Tenente Ananias,"3,99","0,8","3,2"
Tenente Laurentino Cruz,"3,84","0,83","3,2"
Tibau,"3,13","0,85","2,7"
Tibau do Sul,"4,11","0,83","3,4"
Timbaúba dos Batistas,"3,79","0,86","3,3"
Touros,"3,55","0,71","2,5"
Triunfo Potiguar,"3,59","0,77","2,8"
Umarizal,"3,4","0,77","2,6"
Upanema,"3,39","0,79","2,7"
Várzea,"4,14","0,67","2,8"
Venha-Ver,"3,7","0,85","3,1"
Vera Cruz,"3,81","0,9","3,4"
Viçosa,"4,14","0,75","3,1"
Vila Flor,"3,57","0,7","2,5"
