cidade,aprendizado,fluxo,ideb
Acari,"5,15","0,96","4,9"
Açu,"4,17","0,82","3,4"
Afonso Bezerra,"4,4","0,8","3,5"
Água Nova,"4,75","0,94","4,4"
Alexandria,"4,74","0,79","3,7"
Almino Afonso,"4,15","0,76","3,2"
Alto do Rodrigues,"4,24","0,86","3,7"
Angicos,5,"0,84","4,2"
Antônio Martins,"4,16","0,83","3,5"
Apodi,"5,1","0,88","4,5"
Areia Branca,"4,23","0,86","3,7"
Arês,"4,17","0,81","3,4"
Baía Formosa,"4,39","0,84","3,7"
Baraúna,"4,5","0,84","3,8"
Barcelona,"5,12","0,78",4
Bento Fernandes,"3,96","0,81","3,2"
Bodó,"4,69","0,86",4
Bom Jesus,"4,51","0,77","3,5"
Brejinho,"4,29","0,8","3,4"
Caiçara do Norte,"4,52","0,82","3,7"
Caiçara do Rio do Vento,"3,95","0,79","3,1"
Caicó,"4,77","0,86","4,1"
Campo Grande,"4,07","0,85","3,5"
Campo Redondo,"4,17","0,9","3,7"
Canguaretama,"4,38","0,8","3,5"
Caraúbas,"4,74","0,87","4,1"
Carnaúba dos Dantas,"5,37","0,93",5
Carnaubais,"4,67","0,71","3,3"
Ceará-Mirim,"4,34","0,8","3,5"
Cerro Corá,"4,13","0,85","3,5"
Coronel Ezequiel,"4,03","0,85","3,4"
Coronel João Pessoa,-,"0,79",-
Cruzeta,"5,61","0,98","5,5"
Currais Novos,"5,25","0,86","4,5"
Doutor Severiano,"4,46","0,9",4
Encanto,"4,81","0,78","3,8"
Equador,"4,56","0,88",4
Espírito Santo,"3,75","0,68","2,5"
Extremoz,"4,31","0,76","3,3"
Felipe Guerra,"5,03","0,95","4,8"
Fernando Pedroza,"4,54","0,66",3
Florânia,"4,42","0,92","4,1"
Francisco Dantas,"4,41","0,78","3,4"
Frutuoso Gomes,"4,89","0,8","3,9"
Galinhos,-,"0,89",-
Goianinha,"5,11","0,8","4,1"
Governador Dix-Sept Rosado,"4,36","0,75","3,3"
Grossos,"4,15","0,82","3,4"
Guamaré,"4,65","0,86",4
Ielmo Marinho,"4,87","0,83",4
Ipanguaçu,"4,11","0,82","3,4"
Ipueira,"5,02","0,93","4,7"
Itajá,"4,03","0,87","3,5"
Itaú,"4,51","0,91","4,1"
Jaçanã,"4,8","0,9","4,3"
Jandaíra,"4,12","0,88","3,6"
Janduís,"4,47","0,86","3,8"
Januário Cicco,"4,08","0,85","3,5"
Japi,"3,58","0,78","2,8"
Jardim de Angicos,"3,77","0,79",3
Jardim de Piranhas,"4,59","0,82","3,7"
Jardim do Seridó,"5,37","0,9","4,8"
João Câmara,"3,86","0,8","3,1"
João Dias,"4,12","0,62","2,6"
José da Penha,"4,82","0,79","3,8"
Jucurutu,"4,72","0,82","3,9"
Jundiá,"3,85","0,84","3,2"
Lagoa d'Anta,"3,87","0,79",3
Lagoa de Pedras,"4,63","0,86",4
Lagoa de Velhos,"4,03","0,8","3,2"
Lagoa Nova,"4,55","0,86","3,9"
Lagoa Salgada,"4,63","0,85","3,9"
Lajes,"4,25","0,86","3,6"
Lajes Pintadas,"4,03","0,87","3,5"
Lucrécia,"4,35","0,92",4
Luís Gomes,"4,48","0,81","3,6"
Macaíba,"4,32","0,78","3,4"
Macau,"3,86","0,8","3,1"
Major Sales,"4,77","0,91","4,4"
Marcelino Vieira,"4,59","0,85","3,9"
Martins,"4,41","0,89","3,9"
Maxaranguape,"4,13","0,86","3,5"
Messias Targino,"3,92","0,87","3,4"
Montanhas,"4,63","0,81","3,7"
Monte Alegre,"3,9","0,74","2,9"
Monte das Gameleiras,"3,86","0,86","3,3"
Mossoró,"5,11","0,88","4,5"
Natal,"4,67","0,83","3,9"
Nísia Floresta,"4,33","0,83","3,6"
Nova Cruz,"4,04","0,78","3,1"
Olho d'Água do Borges,"4,06","0,87","3,6"
Ouro Branco,"5,2","0,84","4,4"
Paraná,-,"0,84",-
Paraú,-,"0,75",-
Parazinho,"4,85","0,84","4,1"
Parelhas,"5,69","0,87",5
Parnamirim,"4,73","0,86","4,1"
Passa e Fica,"4,05","0,84","3,4"
Passagem,"4,38","0,81","3,5"
Patu,"4,21","0,75","3,2"
Pau dos Ferros,"4,88","0,81",4
Pedra Grande,"4,72","0,8","3,8"
Pedra Preta,"3,71","0,81",3
Pedro Avelino,"4,65","0,75","3,5"
Pedro Velho,"3,95","0,76",3
Pendências,"4,06","0,85","3,4"
Pilões,"4,62","0,73","3,4"
Poço Branco,"3,8","0,86","3,3"
Portalegre,"4,9","0,8","3,9"
Porto do Mangue,"4,4","0,84","3,7"
Pureza,"3,93","0,78",3
Rafael Fernandes,"5,26","0,86","4,5"
Rafael Godeiro,"5,4","0,86","4,7"
Riacho da Cruz,"4,46","0,85","3,8"
Riacho de Santana,"4,81","0,71","3,4"
Riachuelo,"3,7","0,87","3,2"
Rio do Fogo,"3,56","0,76","2,7"
Rodolfo Fernandes,"4,05","0,84","3,4"
Ruy Barbosa,"4,65","0,89","4,2"
Santa Cruz,"4,19","0,88","3,7"
Santa Maria,"4,13","0,7","2,9"
Santana do Matos,"4,27","0,82","3,5"
Santana do Seridó,"5,18","0,76",4
Santo Antônio,"4,6","0,83","3,8"
São Bento do Norte,"4,11","0,82","3,4"
São Bento do Trairí,"4,05","0,9","3,6"
São Fernando,"4,54","0,8","3,6"
São Francisco do Oeste,"5,05","0,85","4,3"
São Gonçalo do Amarante,"4,27","0,78","3,3"
São João do Sabugi,"5,87","0,87","5,1"
São José de Mipibu,"4,19","0,81","3,4"
São José do Campestre,"3,88","0,73","2,8"
São José do Seridó,"4,96","0,98","4,9"
São Miguel,"4,82","0,84",4
São Miguel do Gostoso,"5,35","0,73","3,9"
São Paulo do Potengi,"4,34","0,88","3,8"
São Pedro,"4,04","0,77","3,1"
São Rafael,"4,76","0,82","3,9"
São Tomé,"4,94","0,9","4,5"
São Vicente,"4,57","0,92","4,2"
Senador Elói de Souza,"3,91","0,83","3,2"
Senador Georgino Avelino,"4,11","0,76","3,1"
Serra Caiada,"4,51","0,94","4,2"
Serra de São Bento,"4,11","0,81","3,3"
Serra do Mel,"4,21","0,87","3,6"
Serra Negra do Norte,"4,35","0,85","3,7"
Serrinha,"4,79","0,87","4,2"
Serrinha dos Pintos,"5,09","0,8","4,1"
Severiano Melo,"4,16","0,8","3,3"
Sítio Novo,"4,62","0,92","4,3"
Taboleiro Grande,"4,35","0,83","3,6"
Taipu,"4,15","0,88","3,6"
Tangará,"4,13","0,85","3,5"
Tenente Ananias,"4,33","0,86","3,7"
Tenente Laurentino Cruz,"4,56","0,82","3,7"
Tibau,"4,14","0,79","3,3"
Tibau do Sul,"4,19","0,8","3,3"
Timbaúba dos Batistas,"4,19","0,89","3,7"
Touros,-,"0,86",-
Triunfo Potiguar,"4,18","0,8","3,4"
Umarizal,"4,31","0,81","3,5"
Upanema,"4,94","0,86","4,2"
Várzea,"3,46","0,84","2,9"
Venha-Ver,"4,63","0,88","4,1"
Vera Cruz,"4,38","0,84","3,7"
Viçosa,"4,98","0,94","4,7"
Vila Flor,"3,93","0,78","3,1"
